datetime,kWh,date,weekday,workday,hour,week,continuous_hour
2016-01-05 13:30:00,7.35,2016-01-05,1,True,13,1,37
2016-01-05 13:45:00,7.05,2016-01-05,1,True,13,1,37
2016-01-05 14:00:00,7.23,2016-01-05,1,True,14,1,38
2016-01-05 14:15:00,7.47,2016-01-05,1,True,14,1,38
2016-01-05 14:30:00,7.29,2016-01-05,1,True,14,1,38
2016-01-05 14:45:00,7.44,2016-01-05,1,True,14,1,38
2016-01-05 15:00:00,7.65,2016-01-05,1,True,15,1,39
2016-01-05 15:15:00,7.35,2016-01-05,1,True,15,1,39
2016-01-05 15:30:00,6.96,2016-01-05,1,True,15,1,39
2016-01-05 15:45:00,7.2,2016-01-05,1,True,15,1,39
2016-01-05 16:00:00,7.23,2016-01-05,1,True,16,1,40
2016-01-05 16:15:00,7.17,2016-01-05,1,True,16,1,40
2016-01-05 16:30:00,7.05,2016-01-05,1,True,16,1,40
2016-01-05 16:45:00,6.96,2016-01-05,1,True,16,1,40
2016-01-05 17:00:00,6.9,2016-01-05,1,True,17,1,41
2016-01-05 17:15:00,6.66,2016-01-05,1,True,17,1,41
2016-01-05 17:30:00,6.33,2016-01-05,1,True,17,1,41
2016-01-05 17:45:00,5.7,2016-01-05,1,True,17,1,41
2016-01-05 18:00:00,5.25,2016-01-05,1,True,18,1,42
2016-01-05 18:15:00,5.07,2016-01-05,1,True,18,1,42
2016-01-05 18:30:00,5.25,2016-01-05,1,True,18,1,42
2016-01-05 18:45:00,5.07,2016-01-05,1,True,18,1,42
2016-01-05 19:00:00,4.65,2016-01-05,1,True,19,1,43
2016-01-05 19:15:00,4.59,2016-01-05,1,True,19,1,43
2016-01-05 19:30:00,4.68,2016-01-05,1,True,19,1,43
2016-01-05 19:45:00,3.9,2016-01-05,1,True,19,1,43
2016-01-05 20:00:00,4.05,2016-01-05,1,True,20,1,44
2016-01-05 20:15:00,3.93,2016-01-05,1,True,20,1,44
2016-01-05 20:30:00,3.93,2016-01-05,1,True,20,1,44
2016-01-05 20:45:00,3.81,2016-01-05,1,True,20,1,44
2016-01-05 21:00:00,3.57,2016-01-05,1,True,21,1,45
2016-01-05 21:15:00,3.48,2016-01-05,1,True,21,1,45
2016-01-05 21:30:00,3.33,2016-01-05,1,True,21,1,45
2016-01-05 21:45:00,3.36,2016-01-05,1,True,21,1,45
2016-01-05 22:00:00,3.3,2016-01-05,1,True,22,1,46
2016-01-05 22:15:00,3.33,2016-01-05,1,True,22,1,46
2016-01-05 22:30:00,3.27,2016-01-05,1,True,22,1,46
